Row,C0,C1,C2,C3,C4,C5
0,0,0,0,20158709760,63,1
1,1,0,0,319979520,63,2
2,2,0,1,10321920,63,3
3,3,0,2,516096,63,4
4,3,1,7,30965760,63,2
5,4,0,3,36864,63,5
6,4,1,7,516096,63,4
7,4,2,10,2064384,63,3
8,5,0,4,3840,63,6
9,5,1,7,18432,63,6
10,5,2,10,36864,63,6
11,5,3,17,184320,63,3
12,5,4,8,688128,63,4
13,6,0,5,720,63,6
14,6,1,7,1152,63,8
15,6,2,10,1536,63,9
16,6,3,17,3840,63,6
17,6,4,32,23040,63,4
18,6,5,8,12288,63,8
19,6,6,14,110592,63,3
20,6,7,15,18432,63,6
21,6,8,13,73728,63,5
22,6,9,9,2064384,63,3
23,7,0,6,5040,-1,-1
24,7,1,7,144,-1,-1
25,7,2,10,144,-1,-1
26,7,3,17,240,-1,-1
27,7,4,32,720,-1,-1
28,7,5,8,512,-1,-1
29,7,6,14,2304,-1,-1
30,7,7,15,384,-1,-1
31,7,8,29,4608,-1,-1
32,7,9,30,1536,-1,-1
33,7,10,13,1536,-1,-1
34,7,11,26,2304,-1,-1
35,7,12,28,1536,-1,-1
36,7,13,9,36864,-1,-1
37,7,14,11,73728,-1,-1
38,7,15,12,12288,-1,-1
39,7,16,16,12288,-1,-1
40,7,17,15,258048,-1,-1
41,7,18,10,14450688,-1,-1
END
